>>> 4483409785568 FormatService.format()
>>> 4483409786014 list paths
<<< 4483409851396 list paths
>>> 4483409851415 read files
<<< 4483409871359 read files
>>> 4483409871379 start workers
>>> 4483409871940 start worker | 1
<<< 4483411618492 request and wait for format | ./lib/src/front_end/sequence_builder.dart
>>> 4483411618524 request and wait for format | ./lib/src/io.dart
>>> 4483411618529 send format request | ./lib/src/io.dart
<<< 4483411618557 send format request | ./lib/src/io.dart
>>> 4483411618561 format | ./lib/src/io.dart
<<< 4483411678363 format | ./lib/src/io.dart
>>> 4483411678376 send format response | ./lib/src/io.dart
<<< 4483411678406 send format response | ./lib/src/io.dart
<<< 4483411678559 request and wait for format | ./lib/src/io.dart
>>> 4483411678572 request and wait for format | ./lib/src/piece/adjacent.dart
>>> 4483411678575 send format request | ./lib/src/piece/adjacent.dart
<<< 4483411678590 send format request | ./lib/src/piece/adjacent.dart
>>> 4483411678593 format | ./lib/src/piece/adjacent.dart
<<< 4483411738283 format | ./lib/src/piece/adjacent.dart
>>> 4483411738288 send format response | ./lib/src/piece/adjacent.dart
<<< 4483411738303 send format response | ./lib/src/piece/adjacent.dart
<<< 4483411738428 request and wait for format | ./lib/src/piece/adjacent.dart
>>> 4483411738437 request and wait for format | ./lib/src/piece/assign.dart
>>> 4483411738439 send format request | ./lib/src/piece/assign.dart
<<< 4483411738452 send format request | ./lib/src/piece/assign.dart
>>> 4483411738454 format | ./lib/src/piece/assign.dart
<<< 4483411798327 format | ./lib/src/piece/assign.dart
>>> 4483411798336 send format response | ./lib/src/piece/assign.dart
<<< 4483411798358 send format response | ./lib/src/piece/assign.dart
<<< 4483411798519 request and wait for format | ./lib/src/piece/assign.dart
>>> 4483411798536 request and wait for format | ./lib/src/piece/case.dart
>>> 4483411798541 send format request | ./lib/src/piece/case.dart
<<< 4483411798563 send format request | ./lib/src/piece/case.dart
>>> 4483411798573 format | ./lib/src/piece/case.dart
<<< 4483411858352 format | ./lib/src/piece/case.dart
>>> 4483411858384 send format response | ./lib/src/piece/case.dart
<<< 4483411858438 send format response | ./lib/src/piece/case.dart
<<< 4483411858633 request and wait for format | ./lib/src/piece/case.dart
>>> 4483411858648 request and wait for format | ./lib/src/piece/chain.dart
>>> 4483411858653 send format request | ./lib/src/piece/chain.dart
<<< 4483411858676 send format request | ./lib/src/piece/chain.dart
>>> 4483411858679 format | ./lib/src/piece/chain.dart
<<< 4483411918590 format | ./lib/src/piece/chain.dart
>>> 4483411918596 send format response | ./lib/src/piece/chain.dart
<<< 4483411918619 send format response | ./lib/src/piece/chain.dart
<<< 4483411918751 request and wait for format | ./lib/src/piece/chain.dart
>>> 4483411918765 request and wait for format | ./lib/src/piece/clause.dart
>>> 4483411918769 send format request | ./lib/src/piece/clause.dart
<<< 4483411918783 send format request | ./lib/src/piece/clause.dart
>>> 4483411918785 format | ./lib/src/piece/clause.dart
<<< 4483411978665 format | ./lib/src/piece/clause.dart
>>> 4483411978726 send format response | ./lib/src/piece/clause.dart
<<< 4483411978833 send format response | ./lib/src/piece/clause.dart
<<< 4483411979184 request and wait for format | ./lib/src/piece/clause.dart
>>> 4483411979214 request and wait for format | ./lib/src/piece/constructor.dart
>>> 4483411979219 send format request | ./lib/src/piece/constructor.dart
<<< 4483411979254 send format request | ./lib/src/piece/constructor.dart
>>> 4483411979260 format | ./lib/src/piece/constructor.dart
<<< 4483412039073 format | ./lib/src/piece/constructor.dart
>>> 4483412039079 send format response | ./lib/src/piece/constructor.dart
<<< 4483412039095 send format response | ./lib/src/piece/constructor.dart
<<< 4483412039233 request and wait for format | ./lib/src/piece/constructor.dart
>>> 4483412039246 request and wait for format | ./lib/src/piece/control_flow.dart
>>> 4483412039249 send format request | ./lib/src/piece/control_flow.dart
<<< 4483412039262 send format request | ./lib/src/piece/control_flow.dart
>>> 4483412039264 format | ./lib/src/piece/control_flow.dart
<<< 4483412098742 format | ./lib/src/piece/control_flow.dart
>>> 4483412098748 send format response | ./lib/src/piece/control_flow.dart
<<< 4483412098760 send format response | ./lib/src/piece/control_flow.dart
<<< 4483412098883 request and wait for format | ./lib/src/piece/control_flow.dart
>>> 4483412098893 request and wait for format | ./lib/src/piece/for.dart
>>> 4483412098895 send format request | ./lib/src/piece/for.dart
<<< 4483412098907 send format request | ./lib/src/piece/for.dart
>>> 4483412098909 format | ./lib/src/piece/for.dart
<<< 4483412158540 format | ./lib/src/piece/for.dart
>>> 4483412158545 send format response | ./lib/src/piece/for.dart
<<< 4483412158554 send format response | ./lib/src/piece/for.dart
<<< 4483412158676 request and wait for format | ./lib/src/piece/for.dart
>>> 4483412158684 request and wait for format | ./lib/src/piece/if_case.dart
>>> 4483412158687 send format request | ./lib/src/piece/if_case.dart
<<< 4483412158697 send format request | ./lib/src/piece/if_case.dart
>>> 4483412158699 format | ./lib/src/piece/if_case.dart
<<< 4483412218195 format | ./lib/src/piece/if_case.dart
>>> 4483412218200 send format response | ./lib/src/piece/if_case.dart
<<< 4483412218210 send format response | ./lib/src/piece/if_case.dart
<<< 4483412218330 request and wait for format | ./lib/src/piece/if_case.dart
>>> 4483412218339 request and wait for format | ./lib/src/piece/infix.dart
>>> 4483412218341 send format request | ./lib/src/piece/infix.dart
<<< 4483412218352 send format request | ./lib/src/piece/infix.dart
>>> 4483412218354 format | ./lib/src/piece/infix.dart
<<< 4483412278224 format | ./lib/src/piece/infix.dart
>>> 4483412278236 send format response | ./lib/src/piece/infix.dart
<<< 4483412278260 send format response | ./lib/src/piece/infix.dart
<<< 4483412278419 request and wait for format | ./lib/src/piece/infix.dart
>>> 4483412278432 request and wait for format | ./lib/src/piece/list.dart
>>> 4483412278435 send format request | ./lib/src/piece/list.dart
<<< 4483412278454 send format request | ./lib/src/piece/list.dart
>>> 4483412278456 format | ./lib/src/piece/list.dart
<<< 4483412338347 format | ./lib/src/piece/list.dart
>>> 4483412338394 send format response | ./lib/src/piece/list.dart
<<< 4483412338466 send format response | ./lib/src/piece/list.dart
<<< 4483412338682 request and wait for format | ./lib/src/piece/list.dart
>>> 4483412338701 request and wait for format | ./lib/src/piece/piece.dart
>>> 4483412338707 send format request | ./lib/src/piece/piece.dart
<<< 4483412338732 send format request | ./lib/src/piece/piece.dart
>>> 4483412338735 format | ./lib/src/piece/piece.dart
<<< 4483412398591 format | ./lib/src/piece/piece.dart
>>> 4483412398599 send format response | ./lib/src/piece/piece.dart
<<< 4483412398616 send format response | ./lib/src/piece/piece.dart
<<< 4483412398753 request and wait for format | ./lib/src/piece/piece.dart
>>> 4483412398770 request and wait for format | ./lib/src/piece/sequence.dart
>>> 4483412398774 send format request | ./lib/src/piece/sequence.dart
<<< 4483412398790 send format request | ./lib/src/piece/sequence.dart
>>> 4483412398792 format | ./lib/src/piece/sequence.dart
<<< 4483412458483 format | ./lib/src/piece/sequence.dart
